username,cheating,cpl_1,cpl_2,cpl_3,cpl_4,cpl_5,cpl_6,cpl_7,cpl_8,cpl_9,cpl_10,cpl_11,cpl_12,cpl_13,cpl_14,cpl_15,cpl_16,cpl_17,cpl_18,cpl_19,cpl_20
erdeniz34,1,31.0,500.0,143.0,194.0,0.0,4.0,86.0,13.0,38.0,72.0,0.0,53.0,17.0,0.0,64.0,71.0,500.0,0.0,234.0,23.0
ssakash,0,3.0,2.0,0.0,22.0,45.0,1.0,226.0,0.0,151.0,129.0,13.0,122.0,4.0,137.0,0.0,22.0,122.0,141.0,144.0,124.0
soloicewind,0,9.0,20.0,0.0,0.0,24.0,4.0,21.0,46.0,20.0,10.0,9.0,62.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0
megas41,0,29.0,1.0,59.0,26.0,0.0,3.0,20.0,14.0,0.0,1.0,146.0,2.0,0.0,18.0,186.0,0.0,45.0,60.0,7.0,0.0
manni24,0,500.0,19.0,3.0,25.0,0.0,0.0,51.0,18.0,45.0,73.0,0.0,0.0,107.0,0.0,0.0,21.0,0.0,0.0,50.0,20.0
sundoroclasic,0,0.0,0.0,0.0,142.0,0.0,118.0,8.0,0.0,0.0,70.0,70.0,0.0,270.0,0.0,6.0,0.0,42.0,199.0,32.0,19.0
cabufao,0,15.0,102.0,1.0,7.0,23.0,0.0,2.0,0.0,42.0,25.0,8.0,73.0,0.0,0.0,0.0,10.0,0.0,7.0,0.0,0.0
megas41,0,0.0,354.0,248.0,47.0,0.0,124.0,82.0,0.0,9.0,15.0,0.0,359.0,230.0,0.0,0.0,1.0,0.0,66.0,44.0,78.0
junghokang,1,56.0,3.0,432.0,0.0,0.0,76.0,0.0,60.0,19.0,23.0,0.0,60.0,0.0,70.0,0.0,0.0,45.0,0.0,1.0,0.0
lastshadow24,0,6.0,0.0,14.0,96.0,0.0,15.0,33.0,0.0,0.0,22.0,0.0,0.0,232.0,16.0,34.0,0.0,9.0,18.0,45.0,126.0
popettedu56,1,12.0,68.0,64.0,98.0,0.0,0.0,240.0,1.0,92.0,0.0,7.0,60.0,500.0,27.0,29.0,45.0,127.0,255.0,37.0,169.0
ramontxobarca,0,14.0,9.0,0.0,0.0,85.0,34.0,55.0,0.0,84.0,6.0,0.0,95.0,5.0,6.0,0.0,219.0,10.0,31.0,0.0,171.0
jason13,1,39.0,5.0,12.0,5.0,14.0,7.0,5.0,13.0,27.0,27.0,0.0,62.0,0.0,101.0,0.0,0.0,0.0,0.0,2.0,10.0
chriskoou,1,18.0,7.0,22.0,20.0,123.0,17.0,72.0,14.0,58.0,0.0,15.0,0.0,16.0,39.0,72.0,9.0,11.0,49.0,0.0,0.0
raestorm,1,0.0,0.0,6.0,15.0,1.0,2.0,24.0,7.0,0.0,0.0,0.0,0.0,33.0,111.0,0.0,1.0,9.0,88.0,25.0,85.0
hukto,0,9.0,0.0,26.0,79.0,41.0,58.0,36.0,58.0,6.0,41.0,37.0,6.0,0.0,20.0,48.0,100.0,0.0,6.0,2.0,9.0
holystic,1,3.0,0.0,13.0,15.0,6.0,26.0,29.0,47.0,21.0,19.0,64.0,23.0,0.0,22.0,0.0,0.0,14.0,26.0,0.0,11.0
josh789,0,10.0,0.0,36.0,28.0,28.0,0.0,91.0,0.0,0.0,0.0,0.0,24.0,127.0,4.0,0.0,1.0,25.0,12.0,348.0,0.0
enricmx,0,0.0,22.0,12.0,0.0,70.0,0.0,21.0,0.0,17.0,39.0,32.0,86.0,20.0,121.0,85.0,22.0,24.0,60.0,76.0,0.0
zivojin,0,8.0,51.0,0.0,18.0,22.0,0.0,10.0,72.0,26.0,0.0,55.0,0.0,106.0,43.0,114.0,0.0,59.0,31.0,0.0,0.0
harfen,1,82.0,164.0,2.0,8.0,19.0,82.0,51.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,51.0,59.0,22.0,0.0,149.0,166.0
chocolatine,0,0.0,10.0,6.0,59.0,7.0,6.0,111.0,130.0,112.0,13.0,0.0,322.0,303.0,105.0,232.0,287.0,0.0,246.0,16.0,169.0
franzjosef,0,8.0,4.0,0.0,0.0,0.0,24.0,10.0,0.0,22.0,28.0,0.0,0.0,0.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0
chess_advicer,1,0.0,33.0,41.0,82.0,130.0,45.0,36.0,36.0,84.0,37.0,16.0,157.0,162.0,55.0,305.0,249.0,50.0,24.0,0.0,0.0
anthropoid,0,17.0,2.0,0.0,12.0,0.0,108.0,0.0,82.0,320.0,135.0,233.0,29.0,6.0,274.0,117.0,47.0,15.0,69.0,43.0,11.0
michellopezabreu,0,4.0,22.0,8.0,0.0,85.0,44.0,101.0,0.0,79.0,3.0,15.0,80.0,0.0,34.0,2.0,44.0,4.0,56.0,0.0,0.0
john_tan,1,4.0,21.0,0.0,36.0,62.0,0.0,76.0,69.0,22.0,104.0,0.0,1.0,5.0,0.0,7.0,2.0,34.0,2.0,26.0,0.0
jardy79,1,46.0,14.0,5.0,30.0,78.0,30.0,9.0,31.0,0.0,110.0,9.0,6.0,9.0,5.0,19.0,239.0,0.0,0.0,446.0,1.0
m-the-greatiix,1,0.0,1.0,17.0,12.0,9.0,0.0,7.0,0.0,21.0,2.0,12.0,0.0,13.0,22.0,49.0,10.0,0.0,0.0,0.0,3.0
sam001,1,52.0,53.0,151.0,106.0,0.0,202.0,16.0,0.0,25.0,30.0,0.0,61.0,107.0,246.0,34.0,53.0,500.0,0.0,157.0,0.0
vahidk2,1,3.0,23.0,40.0,1.0,3.0,16.0,52.0,46.0,124.0,3.0,5.0,0.0,100.0,85.0,1.0,9.0,0.0,1.0,0.0,13.0
oli55,1,0.0,8.0,0.0,13.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,2.0,0.0,18.0,2.0,0.0,0.0,0.0,44.0,0.0
goldflsh,1,10.0,0.0,51.0,2.0,25.0,0.0,39.0,11.0,13.0,12.0,0.0,0.0,15.0,94.0,19.0,58.0,0.0,26.0,36.0,0.0
marker41,0,11.0,59.0,0.0,89.0,75.0,35.0,8.0,0.0,65.0,0.0,249.0,500.0,0.0,0.0,11.0,0.0,0.0,500.0,12.0,67.0
beki1995,0,0.0,57.0,131.0,65.0,479.0,37.0,211.0,143.0,199.0,0.0,13.0,22.0,207.0,220.0,97.0,0.0,500.0,500.0,0.0,0.0
chessmate149,0,13.0,42.0,56.0,10.0,29.0,0.0,2.0,15.0,109.0,93.0,24.0,4.0,29.0,51.0,45.0,16.0,0.0,45.0,111.0,0.0
blisteringheat,0,45.0,3.0,20.0,0.0,25.0,115.0,221.0,0.0,0.0,0.0,88.0,0.0,24.0,35.0,27.0,0.0,52.0,0.0,11.0,31.0
lingsumi,0,13.0,0.0,13.0,0.0,0.0,18.0,49.0,56.0,0.0,64.0,0.0,0.0,16.0,18.0,41.0,21.0,0.0,40.0,0.0,16.0
rasheed21,0,25.0,88.0,0.0,161.0,0.0,0.0,45.0,32.0,12.0,37.0,65.0,0.0,8.0,40.0,52.0,29.0,0.0,12.0,3.0,54.0
undefinedlimit,1,0.0,0.0,3.0,1.0,0.0,0.0,3.0,7.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,15.0,9.0,0.0,0.0,1.0
